"Sender, Recipient, Date 1","Sender, Recipient, Date 2",generated
James S. Mayfield,A. de Saligny,793
James S. Mayfield,Geo. S. Mcintosh,794
James S. Mayfield,Henry J. Jewett,795
James S. Mayfield,Geo. S. Mcintosh,796
Wm. Sevey,James S. Mayfield,797
James H. Starr,Wm. Sevey,798
Thos. Gales Forster,James S. Mayfield,799
Henry J. Jewett,James S. Mayfield,800
James S. Mayfield,Henry J. Jewett,801
A. Hutchinson,James S. Mayfield,802
James Hamilton,Mirabeau B. Lamar,803
Nathaniel Amory,James Hamilton,804
Nathaniel Amory,Geo. S. Mcintosh,805
Nathaniel Amory,James Hamilton,806
James Hamilton,James S. Mayfield,807
James Hamilton,M. Guizot,808
James Hamilton,James S. Mayfield,809
James Hamilton,M. Guizot,810
Geo. S. Mcintosh,Secretary of State [Roberts],811
Geo. S. Mcintosh,M. Guizot,812
Geo. S. Mcintosh,M. Guizot,813
M. Guizot,Geo. S. Mcintosh,814
Geo. S. Mcintosh,M. Guizot,815
Samuel A. Roberts,Geo. S. Mcintosh,816
Geo. S. Mcintosh,James S. Mayfield,817
A. de Saligny,Anson Jones,818
Anson Jones,George S. Mcintosh,819
Anson Jones,Ashbel Smith,820
Anson Jones,A. de Saligny,821
Ashbel Smith,Anson Jones,822
Ashbel Smith,Anson Jones,823
A. de Saligny,Anson Jones,824
Alleye de Cyprey,A. de Saligny,825
A. Gloux,Alleye de Cyprey,826
Declaration of Wyse as,goods shipped on Santa Maria,827
Wm. Henry Daingerfield,Secretary of State [Jones],828
A. de Saligny,Sam Houston,829
Memorandum relative,Saligny 's investments in Texan bonds 1368,830
A. de Saligny,Anson Jones,831
Sam Houston,A. de Saligny,832
Anson Jones,A. de Saligny,833
A. de Saligny,Anson Jones,834
Ashbel Smith,Geo. S. Mcintosh,835
Ashbel Smith,Theodore Barbey,836
Geo. S. Mcintosh,Ashbel Smith,837
Henry Castro,Ashbel Smith,838
Ashbel Smith,Geo. S. Mcintosh,839
Henry Castro,Ashbel Smith,840
Henry Castro,Ashbel Smith,841
Henry Castro,Ashbel Smith,842
Theodore Barbey,Ashbel Smith,843
Henry Castro,Ashbel Smith,844
Geo. S. Mcintosh,Ashbel Smith,845
Ashbel Smith,Theodore Barbey,846
Sam Houston,Ashbel Smith,847
Ashbel Smith,Anson Jones,848
Ashbel Smith,Anson Jones,849
Ashbel Smith,Anson Jones,850
Ashbel Smith,M. Guizot,851
Ashbel Smith,Anson Jones,852
Ashbel Smith,Anson Jones,853
Ashbel Smith,Anson Jones,854
Ashbel Smith,Anson Jones,855
Ashbel Smith,Anson Jones,856
Ashbel Smith,Anson Jones,857
M. Guizot,Ashbel Smith,858
Ashbel Smith,M. Guizot,859
M. Guizot,Ashbel Smith,860
Ashbel Smith,M. Guizot,861
Ashbel Smith,Anson Jones,862
G. W. Terrell,Ashbel Smith,863
Anson Jones,Ashbel Smith,864
Anson Jones,Ashbel Smith,865
Anson Jones,Al. Bourgeois,866
Ashbel Smith,Anson Jones,867
Ashbel Smith,Anson Jones,868
Viscount J. de Cramayel,Anson Jones,869
Ashbel Smith,Anson Jones,870
Viscount J. de Cramayel,Anson Jones,871
Anson Jones,Viscount J. de Cramayel,872
Anson Jones,Viscount J. de Cramayel,873
Secretary of State [Jones] to Ashbel Smith,February 26 1843,874
Viscount J. de Cramayel,Anson Jones,875
Ashbel Smith,Anson Jones,876
Ashbel Smith,Anson Jones,877
Ashbel Smith,M. Guizot,878
M. Guizot,Ashbel Smith,879
Ashbel Smith,M. Guizot,880
Ashbel Smith,M. Guizot,881
M. Guizot,Ashbel Smith,882
Ashbel Smith,M. Guizot,883
Ashbel Smith,Anson Jones,884
Ashbel Smith,Anson Jones,885
M. Guizot,Ashbel Smith,886
Ashbel Smith,M. Guizot,887
Henry Castro,Ashbel Smith,888
Ashbel Smith,Henry Castro,889
Sam Houston,Viscount J. de Cramayel,890
Anson Jones,Viscount J. de Cramayel,891
Viscount J. de Cramayel,Anson Jones,892
Wm. Henry Daingerfield,Ashbel Smith,893
Anson Jones,Viscount J. de Cramayel,894
Ashbel Smith,Anson Jones,895
M. Guizot,Ashbel Smith,896
M. Guizot,Ashbel Smith,897
Wm. Henry Daingerfield,Ashbel Smith,898
Anson Jones,Ashbel Smith,899
James Hamilton,Anson Jones,900
A. Somervell,M. C. Hamilton,901
Wm. Henry Daingerfield,Anson Jones,902
Viscount J. de Cramayel,Anson Jones,903
Wm. Henry Daingerfield,Secretary of State [Jones],904
Ashbel Smith,Anson Jones,905
Ashbel Smith,M. Guizot,906
Ashbel Smith,Anson Jones,907
Viscount J. de Cramayel,Anson Jones,908
Sam Houston,Anson Jones,909
Ashbel Smith,Anson Jones,910
Al. Bourgeois,Ashbel Smith,911
Charles de Castell,Al. Bourgeois,912
Ashbel Smith,Al. Bourgeois,913
Anson Jones,Viscount J. de Cramayel,914
Ashbel Smith,Anson Jones,915
Wm. Henry Daingerfield,Ashbel Smith,916
Ashbel Smith,Anson Jones,917
Ashbel Smith,Anson Jones,918
Ashbel Smith,Anson Jones,919
Anson Jones,Ashbel Smith,920
Ashbel Smith,Anson Jones,921
Ashbel Smith,Anson Jones,922
Ashbel Smith,Anson Jones,923
Ashbel Smith,Anson Jones,924
Ashbel Smith,Anson Jones,925
M. Guizot,Anson Jones,926
A. de Saligny,Ashbel Smith,927
Ashbel Smith,A. de Saligny,928
G. W. Terrell,Ashbel Smith,929
Terrell's address,the King of France,930
Reply of the King of France,Terrell's address,931
G. W. Terrell,M. Guizot,932
Ashbel Smith,A. de Saligny,933
A. de Saligny,Ebenezer Allen,934
Ebenezer Allen,A. de Saligny,935
Ashbel Smith,Washington Irving,936
Ashbel Smith,Anson Jones,937
Ashbel Smith,General Sancho,938
Anson Jones,Ashbel Smith,939
Ashbel Smith,Martinez de La Rosa,940
Wm. Henry Daingerfield,Lachlin M. Rate,941
Wm. Henry Daingerfield,Baron Roenne,942
Wm. Henry Daingerfield,G. W. Terrell,943
James Hamilton,Abner S. Lipscomb,944
James Hamilton,Abner S. Lipscomb,945
James Hamilton,Secretary of State [Roberts],946
Anson Jones,Victor Pirson,947
Wm. Henry Daingerfield,Anson Jones,948
Wm. Henry Daingerfield,Count d' Alviella,949
James Hamilton,Abner S. Lipscomb,950
Abner S. Lipscomb,James Hamilton,951
James Hamilton,Abner S. Lipscomb,952
Anson Jones,Wm. Henry Daingerfield,953
Anson Jones,James Hamilton,954
Anson Jones,Wm. Henry Daingerfield,955
Wm. Henry Daingerfield,Anson Jones,956
Henry Castro,Anson Jones,957
Anson Jones,Wm. Henry Daingerfield,958
Wm. Henry Daingerfield,Lachlin M. Rate,959
Wm. Henry Daingerfield,Anson Jones,960
Anson Jones,Wm. Henry Daingerfield,961
Wm. Henry Daingerfield,Anson Jones,962
Wm. Henry Daingerfield,V. Rumpff,963
Wm. Henry Daingerfield,Ashbel Smith,964
Wm. Henry Daingerfield,V. Rumpff,965
Wm. Henry Daingerfield,V. Rumpff,966
Wm. Henry Daingerfield,Anson Jones,967
Wm. Henry Daingerfield,Anson Jones,968
Wm. Henry Daingerfield,Anson Jones,969
Wm. Henry Daingerfield,Senator Gildmeister,970
R. Sieveking,Wm. Henry Daingerfield,971
Wm. Henry Daingerfield,G. W. Terrell,972
Ashbel Smith,Wm. Henry Daingerfield,973
Wm. Henry Daingerfield,Ebenezer Allen,974
Wm. Henry Daingerfield,Ashbel Smith,975
Wm. Henry Daingerfield,R. Sieveking,976
Wm. Henry Daingerfield,Ebenezer Allen,977
